Study,N,var1,var2,ri
64,137,L2DF,L2L,NA
64,137,L2V,L2G,NA
64,137,L2V,L2P,0.47
64,137,L2V,L2M,0.57
64,137,L2V,L2L,NA
64,137,L2G,L2P,NA
64,137,L2G,L2M,NA
64,137,L2G,L2L,NA
64,137,L2P,L2M,0.54
64,137,L2P,L2L,NA
64,137,L2M,L2L,NA
65,135,L2R,L2DA,0.48
65,135,L2R,L2DF,0.22
65,135,L2R,L2V,0.73
65,135,L2R,L2G,NA
65,135,L2R,L2P,NA
65,135,L2R,L2M,NA
65,135,L2R,L2L,0.76
65,135,L2DA,L2DF,0.43
65,135,L2DA,L2V,0.33
65,135,L2DA,L2G,NA
65,135,L2DA,L2P,NA
65,135,L2DA,L2M,NA
65,135,L2DA,L2L,0.35
65,135,L2DF,L2V,0.01
65,135,L2DF,L2G,NA
65,135,L2DF,L2P,NA
65,135,L2DF,L2M,NA
65,135,L2DF,L2L,0.06
65,135,L2V,L2G,NA
65,135,L2V,L2P,NA
65,135,L2V,L2M,NA
65,135,L2V,L2L,0.85
65,135,L2G,L2P,NA
65,135,L2G,L2M,NA
65,135,L2G,L2L,NA
65,135,L2P,L2M,NA
65,135,L2P,L2L,NA
65,135,L2M,L2L,NA
66,99,L2R,L2DA,NA
66,99,L2R,L2DF,NA
66,99,L2R,L2V,0.64
66,99,L2R,L2G,NA
66,99,L2R,L2P,NA
66,99,L2R,L2M,NA
66,99,L2R,L2L,NA
66,99,L2DA,L2DF,NA
66,99,L2DA,L2V,NA
66,99,L2DA,L2G,NA
66,99,L2DA,L2P,NA
66,99,L2DA,L2M,NA
66,99,L2DA,L2L,NA
66,99,L2DF,L2V,NA
66,99,L2DF,L2G,NA
66,99,L2DF,L2P,NA
66,99,L2DF,L2M,NA
66,99,L2DF,L2L,NA
66,99,L2V,L2G,NA
66,99,L2V,L2P,NA
66,99,L2V,L2M,NA
66,99,L2V,L2L,NA
66,99,L2G,L2P,NA
66,99,L2G,L2M,NA
66,99,L2G,L2L,NA
66,99,L2P,L2M,NA
66,99,L2P,L2L,NA
66,99,L2M,L2L,NA
67,49,L2R,L2DA,NA
67,49,L2R,L2DF,NA
67,49,L2R,L2V,NA
67,49,L2R,L2G,NA
67,49,L2R,L2P,NA
67,49,L2R,L2M,NA
67,49,L2R,L2L,0.16
67,49,L2DA,L2DF,NA
67,49,L2DA,L2V,NA
67,49,L2DA,L2G,NA
67,49,L2DA,L2P,NA
67,49,L2DA,L2M,NA
67,49,L2DA,L2L,NA
67,49,L2DF,L2V,NA
67,49,L2DF,L2G,NA
67,49,L2DF,L2P,NA
67,49,L2DF,L2M,NA
67,49,L2DF,L2L,NA
67,49,L2V,L2G,NA
67,49,L2V,L2P,NA
67,49,L2V,L2M,NA
67,49,L2V,L2L,NA
67,49,L2G,L2P,NA
67,49,L2G,L2M,NA
67,49,L2G,L2L,NA
67,49,L2P,L2M,NA
67,49,L2P,L2L,NA
67,49,L2M,L2L,NA
68,12252,L2R,L2DA,NA
68,12252,L2R,L2DF,NA
68,12252,L2R,L2V,0.33
68,12252,L2R,L2G,0.51
68,12252,L2R,L2P,NA
68,12252,L2R,L2M,NA
68,12252,L2R,L2L,0.48
68,12252,L2DA,L2DF,NA
68,12252,L2DA,L2V,NA
68,12252,L2DA,L2G,NA
68,12252,L2DA,L2P,NA
68,12252,L2DA,L2M,NA
68,12252,L2DA,L2L,NA
68,12252,L2DF,L2V,NA
68,12252,L2DF,L2G,NA
68,12252,L2DF,L2P,NA
68,12252,L2DF,L2M,NA
68,12252,L2DF,L2L,NA
68,12252,L2V,L2G,0.31
68,12252,L2V,L2P,NA
68,12252,L2V,L2M,NA
68,12252,L2V,L2L,0.28
68,12252,L2G,L2P,NA
68,12252,L2G,L2M,NA
68,12252,L2G,L2L,0.39
68,12252,L2P,L2M,NA
68,12252,L2P,L2L,NA
68,12252,L2M,L2L,NA
69,107,L2R,L2DA,NA
69,107,L2R,L2DF,NA
69,107,L2R,L2V,0.6
69,107,L2R,L2G,0.62
69,107,L2R,L2P,NA
69,107,L2R,L2M,NA
69,107,L2R,L2L,NA
69,107,L2DA,L2DF,NA
69,107,L2DA,L2V,NA
69,107,L2DA,L2G,NA
69,107,L2DA,L2P,NA
69,107,L2DA,L2M,NA
69,107,L2DA,L2L,NA
69,107,L2DF,L2V,NA
69,107,L2DF,L2G,NA
69,107,L2DF,L2P,NA
69,107,L2DF,L2M,NA
69,107,L2DF,L2L,NA
69,107,L2V,L2G,0.37
69,107,L2V,L2P,NA
69,107,L2V,L2M,NA
69,107,L2V,L2L,NA
69,107,L2G,L2P,NA
69,107,L2G,L2M,NA
69,107,L2G,L2L,NA
69,107,L2P,L2M,NA
69,107,L2P,L2L,NA
69,107,L2M,L2L,NA
70,182,L2R,L2DA,NA
70,182,L2R,L2DF,NA
70,182,L2R,L2V,0.85
70,182,L2R,L2G,0.89
70,182,L2R,L2P,NA
70,182,L2R,L2M,NA
70,182,L2R,L2L,NA
70,182,L2DA,L2DF,NA
70,182,L2DA,L2V,NA
70,182,L2DA,L2G,NA
70,182,L2DA,L2P,NA
70,182,L2DA,L2M,NA
70,182,L2DA,L2L,NA
70,182,L2DF,L2V,NA
70,182,L2DF,L2G,NA
70,182,L2DF,L2P,NA
70,182,L2DF,L2M,NA
70,182,L2DF,L2L,NA
70,182,L2V,L2G,0.84
70,182,L2V,L2P,NA
70,182,L2V,L2M,NA
70,182,L2V,L2L,NA
70,182,L2G,L2P,NA
70,182,L2G,L2M,NA
70,182,L2G,L2L,NA
70,182,L2P,L2M,NA
70,182,L2P,L2L,NA
70,182,L2M,L2L,NA
71,591,L2R,L2DA,NA
71,591,L2R,L2DF,NA
71,591,L2R,L2V,0.79
71,591,L2R,L2G,0.85
71,591,L2R,L2P,NA
71,591,L2R,L2M,NA
71,591,L2R,L2L,NA
71,591,L2DA,L2DF,NA
71,591,L2DA,L2V,NA
71,591,L2DA,L2G,NA
71,591,L2DA,L2P,NA
71,591,L2DA,L2M,NA
71,591,L2DA,L2L,NA
71,591,L2DF,L2V,NA
71,591,L2DF,L2G,NA
71,591,L2DF,L2P,NA
71,591,L2DF,L2M,NA
71,591,L2DF,L2L,NA
71,591,L2V,L2G,0.84
71,591,L2V,L2P,NA
71,591,L2V,L2M,NA
71,591,L2V,L2L,NA
71,591,L2G,L2P,NA
71,591,L2G,L2M,NA
71,591,L2G,L2L,NA
71,591,L2P,L2M,NA
71,591,L2P,L2L,NA
71,591,L2M,L2L,NA
72,69,L2R,L2DA,NA
72,69,L2R,L2DF,NA
72,69,L2R,L2V,0.68
72,69,L2R,L2G,0.7
72,69,L2R,L2P,NA
72,69,L2R,L2M,NA
72,69,L2R,L2L,NA
72,69,L2DA,L2DF,NA
72,69,L2DA,L2V,NA
72,69,L2DA,L2G,NA
72,69,L2DA,L2P,NA
72,69,L2DA,L2M,NA
72,69,L2DA,L2L,NA
72,69,L2DF,L2V,NA
72,69,L2DF,L2G,NA
72,69,L2DF,L2P,NA
72,69,L2DF,L2M,NA
72,69,L2DF,L2L,NA
72,69,L2V,L2G,0.72
72,69,L2V,L2P,NA
72,69,L2V,L2M,NA
72,69,L2V,L2L,NA
72,69,L2G,L2P,NA
72,69,L2G,L2M,NA
72,69,L2G,L2L,NA
72,69,L2P,L2M,NA
72,69,L2P,L2L,NA
72,69,L2M,L2L,NA
73,219,L2R,L2DA,NA
73,219,L2R,L2DF,NA
73,219,L2R,L2V,0.7
73,219,L2R,L2G,0.84
73,219,L2R,L2P,NA
73,219,L2R,L2M,NA
73,219,L2R,L2L,NA
73,219,L2DA,L2DF,NA
73,219,L2DA,L2V,NA
73,219,L2DA,L2G,NA
73,219,L2DA,L2P,NA
73,219,L2DA,L2M,NA
73,219,L2DA,L2L,NA
73,219,L2DF,L2V,NA
73,219,L2DF,L2G,NA
73,219,L2DF,L2P,NA
73,219,L2DF,L2M,NA
73,219,L2DF,L2L,NA
73,219,L2V,L2G,0.77
73,219,L2V,L2P,NA
73,219,L2V,L2M,NA
73,219,L2V,L2L,NA
73,219,L2G,L2P,NA
73,219,L2G,L2M,NA
73,219,L2G,L2L,NA
73,219,L2P,L2M,NA
73,219,L2P,L2L,NA
73,219,L2M,L2L,NA
74,202,L2R,L2DA,0.44
74,202,L2R,L2DF,NA
74,202,L2R,L2V,0.45
74,202,L2R,L2G,0.41
74,202,L2R,L2P,NA
74,202,L2R,L2M,NA
74,202,L2R,L2L,NA
74,202,L2DA,L2DF,NA
74,202,L2DA,L2V,0.53
74,202,L2DA,L2G,0.61
74,202,L2DA,L2P,NA
74,202,L2DA,L2M,NA
74,202,L2DA,L2L,NA
74,202,L2DF,L2V,NA
74,202,L2DF,L2G,NA
74,202,L2DF,L2P,NA
74,202,L2DF,L2M,NA
74,202,L2DF,L2L,NA
74,202,L2V,L2G,0.46
74,202,L2V,L2P,NA
74,202,L2V,L2M,NA
74,202,L2V,L2L,NA
74,202,L2G,L2P,NA
74,202,L2G,L2M,NA
74,202,L2G,L2L,NA
74,202,L2P,L2M,NA
74,202,L2P,L2L,NA
74,202,L2M,L2L,NA
75,211,L2R,L2DA,0.54
75,211,L2R,L2DF,NA
75,211,L2R,L2V,0.39
75,211,L2R,L2G,0.54
75,211,L2R,L2P,NA
75,211,L2R,L2M,NA
75,211,L2R,L2L,NA
75,211,L2DA,L2DF,NA
75,211,L2DA,L2V,0.55
75,211,L2DA,L2G,0.66
75,211,L2DA,L2P,NA
75,211,L2DA,L2M,NA
75,211,L2DA,L2L,NA
75,211,L2DF,L2V,NA
75,211,L2DF,L2G,NA
75,211,L2DF,L2P,NA
75,211,L2DF,L2M,NA
75,211,L2DF,L2L,NA
75,211,L2V,L2G,0.47
75,211,L2V,L2P,NA
75,211,L2V,L2M,NA
75,211,L2V,L2L,NA
75,211,L2G,L2P,NA
75,211,L2G,L2M,NA
75,211,L2G,L2L,NA
75,211,L2P,L2M,NA
75,211,L2P,L2L,NA
75,211,L2M,L2L,NA
76,471,L2R,L2DA,0.7
76,471,L2R,L2DF,NA
76,471,L2R,L2V,0.63
76,471,L2R,L2G,0.73
76,471,L2R,L2P,0.59
76,471,L2R,L2M,NA
76,471,L2R,L2L,NA
76,471,L2DA,L2DF,NA
76,471,L2DA,L2V,0.51
76,471,L2DA,L2G,0.59
76,471,L2DA,L2P,0.51
76,471,L2DA,L2M,NA
76,471,L2DA,L2L,NA
76,471,L2DF,L2V,NA
76,471,L2DF,L2G,NA
76,471,L2DF,L2P,NA
76,471,L2DF,L2M,NA
76,471,L2DF,L2L,NA
76,471,L2V,L2G,0.76
76,471,L2V,L2P,0.46
76,471,L2V,L2M,NA
76,471,L2V,L2L,NA
76,471,L2G,L2P,0.52
76,471,L2G,L2M,NA
76,471,L2G,L2L,NA
76,471,L2P,L2M,NA
76,471,L2P,L2L,NA
76,471,L2M,L2L,NA
77,222,L2R,L2DA,NA
77,222,L2R,L2DF,NA
77,222,L2R,L2V,0.48
77,222,L2R,L2G,0.46
77,222,L2R,L2P,NA
77,222,L2R,L2M,NA
77,222,L2R,L2L,NA
77,222,L2DA,L2DF,NA
77,222,L2DA,L2V,NA
77,222,L2DA,L2G,NA
77,222,L2DA,L2P,NA
77,222,L2DA,L2M,NA
77,222,L2DA,L2L,NA
77,222,L2DF,L2V,NA
77,222,L2DF,L2G,NA
77,222,L2DF,L2P,NA
77,222,L2DF,L2M,NA
77,222,L2DF,L2L,NA
77,222,L2V,L2G,0.59
77,222,L2V,L2P,NA
77,222,L2V,L2M,NA
77,222,L2V,L2L,NA
77,222,L2G,L2P,NA
77,222,L2G,L2M,NA
77,222,L2G,L2L,NA
77,222,L2P,L2M,NA
77,222,L2P,L2L,NA
77,222,L2M,L2L,NA
78,281,L2R,L2DA,NA
78,281,L2R,L2DF,0.47
78,281,L2R,L2V,0.63
78,281,L2R,L2G,0.8
78,281,L2R,L2P,NA
78,281,L2R,L2M,NA
78,281,L2R,L2L,NA
78,281,L2DA,L2DF,NA
78,281,L2DA,L2V,NA
78,281,L2DA,L2G,NA
78,281,L2DA,L2P,NA
78,281,L2DA,L2M,NA
78,281,L2DA,L2L,NA
78,281,L2DF,L2V,0.45
78,281,L2DF,L2G,0.52
78,281,L2DF,L2P,NA
78,281,L2DF,L2M,NA
78,281,L2DF,L2L,NA
78,281,L2V,L2G,0.78
78,281,L2V,L2P,NA
78,281,L2V,L2M,NA
78,281,L2V,L2L,NA
78,281,L2G,L2P,NA
78,281,L2G,L2M,NA
78,281,L2G,L2L,NA
78,281,L2P,L2M,NA
78,281,L2P,L2L,NA
78,281,L2M,L2L,NA
79,64,L2R,L2DA,0.37
79,64,L2R,L2DF,NA
79,64,L2R,L2V,0.46
79,64,L2R,L2G,NA
79,64,L2R,L2P,0.35
79,64,L2R,L2M,0.52
79,64,L2R,L2L,NA
79,64,L2DA,L2DF,NA
79,64,L2DA,L2V,0.53
79,64,L2DA,L2G,NA
79,64,L2DA,L2P,0.63
79,64,L2DA,L2M,0.61
79,64,L2DA,L2L,NA
79,64,L2DF,L2V,NA
79,64,L2DF,L2G,NA
79,64,L2DF,L2P,NA
79,64,L2DF,L2M,NA
79,64,L2DF,L2L,NA
79,64,L2V,L2G,0.28
79,64,L2V,L2P,NA
79,64,L2V,L2M,NA
79,64,L2V,L2L,NA
79,64,L2G,L2P,NA
79,64,L2G,L2M,NA
79,64,L2G,L2L,NA
79,64,L2P,L2M,0.45
79,64,L2P,L2L,NA
79,64,L2M,L2L,NA
80,96,L2R,L2DA,NA
80,96,L2R,L2DF,NA
80,96,L2R,L2V,NA
80,96,L2R,L2G,0.13
80,96,L2R,L2P,0.04
80,96,L2R,L2M,NA
80,96,L2R,L2L,0.59
80,96,L2DA,L2DF,NA
80,96,L2DA,L2V,NA
80,96,L2DA,L2G,NA
80,96,L2DA,L2P,NA
80,96,L2DA,L2M,NA
80,96,L2DA,L2L,NA
80,96,L2DF,L2V,NA
80,96,L2DF,L2G,NA
80,96,L2DF,L2P,NA
80,96,L2DF,L2M,NA
80,96,L2DF,L2L,NA
80,96,L2V,L2G,NA
80,96,L2V,L2P,NA
80,96,L2V,L2M,NA
80,96,L2V,L2L,NA
80,96,L2G,L2P,0.01
80,96,L2G,L2M,NA
80,96,L2G,L2L,0.15
80,96,L2P,L2M,NA
80,96,L2P,L2L,0.09
80,96,L2M,L2L,NA
81,139,L2R,L2DA,0.25
81,139,L2R,L2DF,NA
81,139,L2R,L2V,NA
81,139,L2R,L2G,NA
81,139,L2R,L2P,NA
81,139,L2R,L2M,0.24
81,139,L2R,L2L,NA
81,139,L2DA,L2DF,NA
81,139,L2DA,L2V,NA
81,139,L2DA,L2G,NA
81,139,L2DA,L2P,NA
81,139,L2DA,L2M,0.24
81,139,L2DA,L2L,NA
81,139,L2DF,L2V,NA
81,139,L2DF,L2G,NA
81,139,L2DF,L2P,NA
81,139,L2DF,L2M,NA
81,139,L2DF,L2L,NA
81,139,L2V,L2G,NA
81,139,L2V,L2P,NA
81,139,L2V,L2M,NA
81,139,L2V,L2L,NA
81,139,L2G,L2P,NA
81,139,L2G,L2M,NA
81,139,L2G,L2L,NA
81,139,L2P,L2M,NA
81,139,L2P,L2L,NA
81,139,L2M,L2L,NA
82,209,L2R,L2DA,NA
82,209,L2R,L2DF,NA
82,209,L2R,L2V,0.31
82,209,L2R,L2G,NA
82,209,L2R,L2P,NA
82,209,L2R,L2M,NA
82,209,L2R,L2L,0.24
82,209,L2DA,L2DF,NA
82,209,L2DA,L2V,NA
82,209,L2DA,L2G,NA
82,209,L2DA,L2P,NA
82,209,L2DA,L2M,NA
82,209,L2DA,L2L,NA
82,209,L2DF,L2V,NA
82,209,L2DF,L2G,NA
82,209,L2DF,L2P,NA
82,209,L2DF,L2M,NA
82,209,L2DF,L2L,NA
82,209,L2V,L2G,NA
82,209,L2V,L2P,NA
82,209,L2V,L2M,NA
82,209,L2V,L2L,0.18
82,209,L2G,L2P,NA
82,209,L2G,L2M,NA
82,209,L2G,L2L,NA
82,209,L2P,L2M,NA
82,209,L2P,L2L,NA
82,209,L2M,L2L,NA
83,172,L2R,L2DA,NA
83,172,L2R,L2DF,NA
83,172,L2R,L2V,0.26
83,172,L2R,L2G,0.19
83,172,L2R,L2P,NA
83,172,L2R,L2M,NA
83,172,L2R,L2L,NA
83,172,L2DA,L2DF,NA
83,172,L2DA,L2V,NA
83,172,L2DA,L2G,NA
83,172,L2DA,L2P,NA
83,172,L2DA,L2M,NA
83,172,L2DA,L2L,NA
83,172,L2DF,L2V,NA
83,172,L2DF,L2G,NA
83,172,L2DF,L2P,NA
83,172,L2DF,L2M,NA
83,172,L2DF,L2L,NA
83,172,L2V,L2G,0.14
83,172,L2V,L2P,NA
83,172,L2V,L2M,NA
83,172,L2V,L2L,NA
83,172,L2G,L2P,NA
83,172,L2G,L2M,NA
83,172,L2G,L2L,NA
83,172,L2P,L2M,NA
83,172,L2P,L2L,NA
83,172,L2M,L2L,NA
