studyID,esID,yi,vi,x1,x2,post_id
G1,95,0.346734017,0.082999526,4,1,2
G1,96,0.922574299,0.102218039,4,1,2
G1,97,0.497394924,0.088712774,4,1,2
G1,98,0.939511403,0.09815826,12,1,3
G1,99,0.215926341,0.080141346,12,1,3
G1,100,0.852552414,0.09703036,12,1,3
G1,101,0.680116979,0.090573257,12,1,3
G1,102,0.770943674,0.096355585,12,1,3
H1,103,0.993601935,0.197094803,1,8,1
H2,104,0.830466142,0.09776429,1,,1
H2,105,0.948223419,0.099359601,1,,1
H2,106,0.381740695,0.093305791,1,,1
H2,107,-0.250818989,0.089685507,1,,1
J1,108,1.068066474,0.095545476,0,2,1
J1,109,0.669985341,0.07657468,0,2,1
J1,110,1.302198229,0.107650928,4,2,2
J1,111,0.784184111,0.080210167,4,2,2
K1,112,0.450380236,0.093954678,1,2,1
K1,113,1.436728715,0.14169786,1,2,1
K1,114,-0.348524995,0.107266412,1,2,1
K1,115,1.060783962,0.126394172,3,2,2
K1,116,1.887610336,0.197511109,3,2,2
K1,117,0.329231355,0.112564551,3,2,2
K1,118,0.796155566,0.111743002,4,2,3
K1,119,1.427156303,0.154379661,4,2,3
K1,120,-0.282406758,0.104371255,4,2,3
K2,121,0.161215943,0.16399815,2,3,1
K2,122,0.122666066,0.179335475,2,3,1
K2,123,0.710722344,0.213786582,2,3,1
K3,124,0.856788205,0.077618217,0,2,1
K3,125,1.306849432,0.09400648,0,2,1
K3,126,0.941233399,0.079584398,6,2,2
K3,127,1.274315874,0.091787007,6,2,2
M1,128,0.917324928,0.171792967,0,12,1
M1,129,0.102084383,0.141232253,0,12,1
M1,130,0.755188343,0.222970701,0,12,1
M1,131,1.176033455,0.282494253,0,12,1
M1,132,0.528774788,0.209872997,0,12,1
M1,133,-0.118904904,0.174087099,0,12,1
M1,134,-0.088344593,0.159074638,0,12,1
M1,135,0.539086991,0.200635461,0,12,1
M1,136,0.985088561,0.155721605,40,12,2
M1,137,0.740817728,0.152717912,40,12,2
M1,138,-0.492667996,0.18134706,40,12,2
